pid,task_id,date,task_type,tpe_change,description,submitted_by
3518,3715,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3519,3716,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3520,3717,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3521,4356,2025-04-09 21:10:28,Create,50,Initial Retired Player Import,lemonoppy
3522,3719,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3523,3720,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3524,3721,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3525,3722,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3526,3723,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3527,3724,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3528,3725,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3529,3726,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3530,3727,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3531,3728,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3532,3729,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3533,3730,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3534,3731,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3535,3732,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3536,3733,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3537,3734,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3538,3735,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3539,3736,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3540,3737,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3541,3738,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3542,3739,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3543,3740,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3544,3741,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3545,3742,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3546,3743,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3547,3744,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3548,3745,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3549,3746,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3550,3747,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3551,3748,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3552,3749,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3553,3750,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3554,3751,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3555,3752,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3556,3753,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3557,3754,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3559,3756,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3560,3757,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3561,3758,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3562,3759,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3563,3760,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3564,3761,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3565,3762,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3566,3763,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3567,3764,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3568,3765,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3569,3766,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3570,3767,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3571,3768,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3572,3769,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3573,3770,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3574,3771,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3575,3772,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3576,3773,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3577,3774,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3578,3775,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3579,3776,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3580,3777,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3581,3778,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3582,3779,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3583,3780,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3584,3781,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3585,3782,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3586,3783,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3587,3784,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3588,3785,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3589,3786,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3590,3787,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3591,3788,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3592,3789,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3593,3790,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3594,3791,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3595,3792,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3596,3793,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3597,3794,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3598,3795,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3599,3796,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3600,3797,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3601,3798,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3602,3799,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3603,3800,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3604,3801,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3605,3802,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3606,3803,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3607,3804,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3608,3805,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3609,3806,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3610,3807,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3611,3808,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3612,3809,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3613,3810,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3614,3811,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3615,3812,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3616,3813,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3617,3814,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3618,3815,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3619,3816,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3620,3817,2025-04-09 20:03:32,Create,50,Initial Retired Player Import,lemonoppy
3621,4303,2025-04-09 21:10:28,Create,50,Initial Retired Player Import,lemonoppy
3621,4807,2025-04-09 23:28:35,Create,172,Initial Import,lemonoppy
4547,4371,2025-04-09 21:10:28,Create,50,Initial Retired Player Import,lemonoppy
4603,3830,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4604,3841,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4605,3855,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4606,3865,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4607,3869,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4608,3874,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4609,3901,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4610,3906,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4611,3908,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4612,3915,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4613,3916,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4614,3920,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4615,3921,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4616,3925,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4617,3929,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4618,3933,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4619,3937,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4620,3950,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4621,3955,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4622,3956,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4623,3969,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4624,3971,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4625,3972,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4626,3977,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4627,3979,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4628,3980,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4629,3987,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4630,3991,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4631,4001,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4632,4002,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4633,4012,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4634,4015,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4635,4016,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4636,4019,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4637,4024,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4638,4026,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4639,4034,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4640,4037,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4641,4039,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4642,4042,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4643,4070,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4644,4081,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4645,4083,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4646,4085,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4647,4088,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4648,4090,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4649,4092,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4650,4097,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4651,4108,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4652,4114,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4653,4117,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4654,4125,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4655,4140,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4656,4141,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4657,4149,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4658,4151,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4659,4154,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4660,4155,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4661,4158,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4662,4161,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4663,4176,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4664,4180,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4665,4181,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4666,4182,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4667,4193,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4668,4196,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4669,4201,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4670,4229,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4671,4235,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4672,4243,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4673,4244,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4674,4253,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4675,4255,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4676,4258,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4677,4369,2025-04-09 21:10:28,Create,50,Initial Retired Player Import,lemonoppy
4678,4278,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4679,4283,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4680,4291,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4681,4301,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4682,4420,2025-04-09 23:28:35,Create,528,Initial Import,lemonoppy
4682,5374,2025-04-21 10:48:18,point task,7,S54 First Rounders,wizard_literal
4682,5470,2025-04-21 11:20:00,other,-233,Portal Import,lemonoppy
4682,5848,2025-04-21 17:05:33,training,5,Weekly Training: +5,firstfray
4682,5847,2025-04-21 17:05:33,activity check,2,Weekly Activity Check: +2,firstfray
4682,6719,2025-04-28 10:46:32,training,5,Weekly Training: +5,firstfray
4682,6718,2025-04-28 10:46:32,activity check,2,Weekly Activity Check: +2,firstfray
4682,7303,2025-05-01 19:55:41,point task,16, ISFL S54 Claim Week 1,wizard_literal
4682,8144,2025-05-06 16:47:39,activity check,2,Weekly Activity Check: +2,firstfray
4682,8145,2025-05-06 16:47:42,training,5,Weekly Training: +5,firstfray
4682,8348,2025-05-08 16:30:59,point task,12,ISFL S54 Claim Week 2,wizard_literal
4682,8890,2025-05-12 11:47:37,activity check,2,Weekly Activity Check: +2,firstfray
4682,8891,2025-05-12 11:47:40,training,5,Weekly Training: +5,firstfray
4682,9381,2025-05-16 08:38:37,point task,11,S54 Week 3 Claim,wizard_literal
4682,10207,2025-05-21 19:27:00,activity check,2,Weekly Activity Check: +2,firstfray
4682,10208,2025-05-21 19:27:03,training,5,Weekly Training: +5,firstfray
4682,10456,2025-05-23 08:53:14,point task,3,(S54) PT #3,wizard_literal
4682,10611,2025-05-23 09:00:12,point task,3,ISFL Week 10 Predictions,wizard_literal
4682,10868,2025-05-23 09:04:07,point task,3,ISFL Week 11 Predictions,wizard_literal
4682,11127,2025-05-23 09:10:09,point task,3,ISFL Week 12 Predictions,wizard_literal
4682,11817,2025-05-26 22:09:12,activity check,2,Weekly Activity Check: +2,firstfray
4682,11818,2025-05-26 22:09:16,training,5,Weekly Training: +5,firstfray
4682,12138,2025-05-30 08:22:44,point task,3,(S54) ISFL Week 13 Predictions,wizard_literal
4682,12425,2025-05-30 08:23:56,point task,3, (S54) ISFL Week 14 Predictions,wizard_literal
4682,12968,2025-05-30 08:25:42,point task,3,(S54) PT #4 - Personal Locker,wizard_literal
4682,13417,2025-06-01 13:01:57,point task,6,S54 Regular Season Preds,AustinP0027
4682,13721,2025-06-02 12:45:13,activity check,2,Weekly Activity Check: +2,firstfray
4682,14089,2025-06-05 13:26:06,point task,3,(S54) ISFL Week 16 Predictions,AustinP0027
4682,14392,2025-06-06 21:09:32,fantasy,5,S54 Fantasy Results,AustinP0027
4682,14541,2025-06-06 21:14:21,point task,3,(S54) PT #5,AustinP0027
4682,14762,2025-06-07 07:41:33,point task,1,S54 Host City Voting,AustinP0027
4682,15096,2025-06-07 08:08:10,point task,4,S54 Playoff Preds,AustinP0027
4682,16133,2025-06-07 14:08:40,correction,-428,S55 Regression,AustinP0027
4683,4493,2025-04-09 23:28:35,Create,282,Initial Import,lemonoppy
4683,16132,2025-06-07 14:08:40,correction,-282,S55 Regression,AustinP0027
4684,4619,2025-04-09 23:28:35,Create,364,Initial Import,lemonoppy
4684,5615,2025-04-21 14:05:13,other,-209,Portal Import,lemonoppy
4684,16131,2025-06-07 14:08:40,correction,-155,S55 Regression,AustinP0027
4685,4651,2025-04-09 23:28:35,Create,515,Initial Import,lemonoppy
4685,5271,2025-04-21 10:48:18,point task,7,S54 First Rounders,wizard_literal
4685,5642,2025-04-21 14:30:39,other,-246,Portal Import,lemonoppy
4685,5935,2025-04-21 18:01:24,training,5,Weekly Training: +5,Frostbite
4685,5934,2025-04-21 18:01:24,activity check,2,Weekly Activity Check: +2,Frostbite
4685,6694,2025-04-28 10:09:36,training,5,Weekly Training: +5,Frostbite
4685,6693,2025-04-28 10:09:36,activity check,2,Weekly Activity Check: +2,Frostbite
4685,7308,2025-05-01 19:55:41,point task,16, ISFL S54 Claim Week 1,wizard_literal
4685,8037,2025-05-05 19:51:51,activity check,2,Weekly Activity Check: +2,Frostbite
4685,8038,2025-05-05 19:51:54,training,5,Weekly Training: +5,Frostbite
4685,8353,2025-05-08 16:30:59,point task,14,ISFL S54 Claim Week 2,wizard_literal
4685,8781,2025-05-12 08:08:12,activity check,2,Weekly Activity Check: +2,Frostbite
4685,8782,2025-05-12 08:08:16,training,5,Weekly Training: +5,Frostbite
4685,9384,2025-05-16 08:38:37,point task,7,S54 Week 3 Claim,wizard_literal
4685,10215,2025-05-22 03:08:47,activity check,2,Weekly Activity Check: +2,Frostbite
4685,10458,2025-05-23 08:53:14,point task,3,(S54) PT #3,wizard_literal
4685,10614,2025-05-23 09:00:12,point task,3,ISFL Week 10 Predictions,wizard_literal
4685,10871,2025-05-23 09:04:07,point task,2,ISFL Week 11 Predictions,wizard_literal
4685,71248,2026-01-23 22:47:48,Correction,-101,Retired Player Correction,lemonoppy
4686,4809,2025-04-09 23:28:35,Create,158,Initial Import,lemonoppy
4686,16130,2025-06-07 14:08:40,correction,-158,S55 Regression,AustinP0027
4687,4816,2025-04-09 23:28:35,Create,196,Initial Import,lemonoppy
4687,16129,2025-06-07 14:08:40,correction,-196,S55 Regression,AustinP0027
4688,4820,2025-04-09 23:28:35,Create,204,Initial Import,lemonoppy
4689,3827,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4690,3828,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4691,3829,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4692,3838,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4693,3847,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4694,3858,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4695,3876,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4696,3902,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4697,4368,2025-04-09 21:10:28,Create,50,Initial Retired Player Import,lemonoppy
4698,3934,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4699,3935,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4700,3940,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4701,3957,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4702,3958,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4703,3959,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4704,3970,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4705,3973,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4706,4004,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4707,4006,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4708,4021,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4709,4025,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4710,4040,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4711,4052,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4712,4068,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4713,4073,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4714,4082,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4715,4100,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4716,4103,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4717,4119,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4718,4143,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4719,4157,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4720,4168,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4721,4172,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4722,4174,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4723,4177,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4724,4185,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4725,4205,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4726,4209,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4727,4214,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4728,4216,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4729,4221,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4730,4242,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4731,4257,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4732,4266,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4733,4281,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4734,4290,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4735,4297,2025-04-09 20:50:22,Create,50,Initial Retired Player Import,lemonoppy
4736,4376,2025-04-09 23:28:35,Create,725,Initial Import,lemonoppy
4736,5162,2025-04-21 09:53:45,other,-343,Portal Import,lemonoppy
4736,5319,2025-04-21 10:48:18,point task,7,S54 First Rounders,wizard_literal
4736,6393,2025-04-25 14:05:14,training,5,Weekly Training: +5,ForSucksFake
4736,6392,2025-04-25 14:05:14,activity check,2,Weekly Activity Check: +2,ForSucksFake
4736,6866,2025-04-28 15:03:30,activity check,2,Weekly Activity Check: +2,ForSucksFake
4736,6865,2025-04-28 15:03:30,training,5,Weekly Training: +5,ForSucksFake
4736,7306,2025-05-01 19:55:41,point task,6, ISFL S54 Claim Week 1,wizard_literal
4736,8143,2025-05-06 16:13:09,activity check,2,Weekly Activity Check: +2,ForSucksFake
