season,bot_id,team,dsfl_team,league,tier,position,archetype,status,name
63,785,,BBB,DSFL,51,Offensive Lineman,Athletic Lineman,Active,Zheng Jing
63,784,,BBB,DSFL,51,Offensive Lineman,Athletic Lineman,Active,Red Legs Greaves
63,783,,BBB,DSFL,100,Cornerback,Cover Corner,Active,Houshou Marine
63,782,,BBB,DSFL,100,Safety,Ball Hawk,Active,Sea-Dog Fuwawa
63,781,,BBB,DSFL,100,Linebacker,Versatile LB,Active,Francis Drake
63,780,,POR,DSFL,100,Safety,Enforcer,Active,Bugginton Harperious
63,779,,POR,DSFL,100,Cornerback,Physical Corner,Active,Smackin Those Balls
63,778,,POR,DSFL,50,Defensive End,Speed Rusher A,Active,Defending The End
63,776,,NOR,DSFL,50,Offensive Lineman,Athletic Lineman,Active,Yuno Gasai
63,775,,NOR,DSFL,100,Offensive Lineman,Athletic Lineman,Active,All Might
63,774,,NOR,DSFL,100,Offensive Lineman,Athletic Lineman,Active,John Blocksmith
63,773,,NOR,DSFL,50,Defensive Tackle,Interior Rusher B,Active,Bigger Rudder
63,772,,NOR,DSFL,50,Linebacker,Coverage - A,Active,The Real Glims
63,771,,NOR,DSFL,50,Safety,Center Fielder - A,Active,Green Simpson
63,770,,NOR,DSFL,100,Defensive Tackle,Interior Rusher,Active,Kermit The Fatguy
63,769,,LON,DSFL,100,Offensive Lineman,Mauler,Active,The Wall
63,768,,TIJ,DSFL,100,Offensive Lineman,Mauler,Active,Maruchan Chicken
63,767,,MIN,DSFL,51,Offensive Lineman,Mauler,Active,Dire Duck
63,766,,MIN,DSFL,51,Offensive Lineman,Mauler,Active,Griffin Duck
63,765,,MIN,DSFL,50,Defensive Tackle,Interior Rusher B,Active,Mother Reed
63,764,,MIN,DSFL,100,Linebacker,Versatile LB,Active,Suzuki Eagle
63,763,,MIN,DSFL,100,Offensive Lineman,Athletic Lineman,Active,Hyper Tails
63,762,,MIN,DSFL,100,Offensive Lineman,Athletic Lineman,Active,Punished Ducks
63,761,,MIN,DSFL,100,Offensive Lineman,Athletic Lineman,Active,BetThe HonchoOver
63,760,BFB,,ISFL,2,Offensive Lineman,Mauler,Active,Jelly Roll
63,759,BFB,,ISFL,2,Offensive Lineman,Mauler,Active,Tulsa King
63,758,AZ,,ISFL,4,Offensive Lineman,Athletic Lineman,Active,Faith Train
63,757,OCO,,ISFL,4,Offensive Lineman,Athletic Lineman,Active,Ghost Cone
63,756,OCO,,ISFL,4,Offensive Lineman,Athletic Lineman,Active,Ghost Strong
63,754,NYS,,ISFL,3,Offensive Lineman,Mauler,Active,Pineapple Pen
63,752,NYS,,ISFL,2,Offensive Lineman,Mauler,Active,T Monkey
